codigo_eje;nombre_eje;coddisa;nomdisa;codred;codmicro;codigo_pre;nombre_pre;almtipo;red;diris;CATEGORIA;DISTRITO;MICRORED;RISS;NORTE;ESTE;BOLETEA
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;21;02;06684;MENTAL HONORIO DELGADO           **;P;LIMA CIUDAD;;;;;;;;
036;LIMA METROPOLITANA;038;DIRIS LIMA ESTE;01;09;06735;CASA HUERTA LA CAMPIÐA;P;LIMA ESTE METROPOLITANA;LIMA ESTE;;;;;;;
036;LIMA METROPOLITANA;038;DIRIS LIMA ESTE;01;02;06750;SANTA ANITA;C;LIMA ESTE METROPOLITANA;LIMA ESTE;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;03;01;06791;NIÐO JESUS;P;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;;;;;;;;
036;LIMA METROPOLITANA;038;DIRIS LIMA ESTE;01;04;06849;TUPAC AMARU;P;LIMA ESTE METROPOLITANA;LIMA ESTE;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;04;06872;P.S. JOSE MARIA ARGUEDAS;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;SAN JUAN DE MIRAFLORES;OLLANTAY;SAN JUAN DE MIRAFLORES;-76.9556678;-12.1327613;SI
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;02;06886;SANTIAGO APOSTOL;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;01;03;06952;P.S. LAS DUNAS;P;BARRANCO - CHORRILLOS - SURCO;LIMA SUR;I-2;SANTIAGO DE SURCO;SURCO;BARRANCO CHORRILLOS SURCO;-76.984405;-12.1665881;SI
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;04;06999;SAGRADA FAMILIA;P;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;05;07046;CESAR VALLEJO;P;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;26;01;07138;SAN BENITO;P;RED DE SALUD LIMA NORTE IV;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;038;DIRIS LIMA ESTE;01;03;07149;LA FRATERNIDAD;P;LIMA ESTE METROPOLITANA;LIMA ESTE;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;03;03;07278;C.S. HEROES DEL CENEPA;C;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;I-3;VILLA EL SALVADOR;CESAR LOPEZ SILVA;VILLA EL SALVADOR;-76.9306076;-12.2486993;SI
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;05;07357;MARISCAL CACERES;P;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;01;07434;P.S. LADERAS DE VILLA;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;SAN JUAN DE MIRAFLORES;TREBOL AZUL - SAN JUAN;SAN JUAN DE MIRAFLORES;-76.9574698;-12.189694;SI
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;00;00;07632;HOSPITAL CARLOS LANFRANCO LA HOZ;H;NO PERTENECE A NINGUNA RED;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;00;00;07633;HOSPITAL NACIONAL CAYETANO HEREDIA;H;NO PERTENECE A NINGUNA RED;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;00;00;07634;NACIONAL SERGIO E. BERNALES;H;NO PERTENECE A NINGUNA RED;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;04;07645;P.S. 5 DE MAYO;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;SAN JUAN DE MIRAFLORES;OLLANTAY;SAN JUAN DE MIRAFLORES;-76.9625893;-12.132473;SI
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;02;07684;EL ALAMO;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;03;02;07716;P.S. SASBI;P;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;I-2;VILLA EL SALVADOR;JUAN PABLO II;VILLA EL SALVADOR;-76.9544531;-12.2083922;SI
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;07733;ESPECIALIZADO DE SALUD MENTAL HONORIO DELGADO-HIDEYO NOGUCHI;I;NO PERTENECE A NINGUNA RED;;;;;;;;
